,officialnamestate,Month,Weather Measure,Value
0,New South Wales,1,Temperature,23.354618142017813
1,New South Wales,2,Temperature,23.11714829059496
2,New South Wales,3,Temperature,21.85947259378789
3,New South Wales,4,Temperature,16.10581852925754
4,New South Wales,5,Temperature,11.320614287097822
5,New South Wales,6,Temperature,10.419023755237044
6,New South Wales,7,Temperature,10.17082432089604
7,New South Wales,8,Temperature,11.941666864217574
8,New South Wales,9,Temperature,15.960422001933487
9,New South Wales,10,Temperature,17.569790866475564
10,New South Wales,11,Temperature,20.618010802784223
11,New South Wales,12,Temperature,23.62837072586633
12,Queensland,1,Temperature,26.06572038757216
13,Queensland,2,Temperature,25.95676567150376
14,Queensland,3,Temperature,25.722981569066214
15,Queensland,4,Temperature,22.793911963929823
16,Queensland,5,Temperature,17.96241576533786
17,Queensland,6,Temperature,18.442518530477194
18,Queensland,7,Temperature,17.09886467183701
19,Queensland,8,Temperature,19.13269872544652
20,Queensland,9,Temperature,21.79664236508772
21,Queensland,10,Temperature,24.31477501599321
22,Queensland,11,Temperature,25.627111372842105
23,Queensland,12,Temperature,27.33092044563667
24,South Australia,1,Temperature,23.616798475628816
25,South Australia,2,Temperature,23.67021288475456
26,South Australia,3,Temperature,20.81845988460992
27,South Australia,4,Temperature,17.044683375110132
28,South Australia,5,Temperature,13.390502290464688
29,South Australia,6,Temperature,12.334732305433189
30,South Australia,7,Temperature,11.321093558462412
31,South Australia,8,Temperature,13.131781713073751
32,South Australia,9,Temperature,16.89327582201175
33,South Australia,10,Temperature,16.953046121500638
34,South Australia,11,Temperature,20.10163272856094
35,South Australia,12,Temperature,21.37033806181612
36,Tasmania,1,Temperature,16.186326540552994
37,Tasmania,2,Temperature,15.522564111451247
38,Tasmania,3,Temperature,13.620974105529951
39,Tasmania,4,Temperature,12.309221546574074
40,Tasmania,5,Temperature,9.46631779966206
41,Tasmania,6,Temperature,8.7848234116409
42,Tasmania,7,Temperature,9.225718936620584
43,Tasmania,8,Temperature,8.84825904094895
44,Tasmania,9,Temperature,10.363544753102646
45,Tasmania,10,Temperature,10.302148371003584
46,Tasmania,11,Temperature,13.030902573862434
47,Tasmania,12,Temperature,14.582978094009215
48,Territories,1,Temperature,27.513851880611902
49,Territories,2,Temperature,27.504867095360822
50,Territories,3,Temperature,27.75809721849019
51,Territories,4,Temperature,25.18522183549828
52,Territories,5,Temperature,20.615928256568008
53,Territories,6,Temperature,21.253359686907217
54,Territories,7,Temperature,19.586820479847024
55,Territories,8,Temperature,22.65169686351846
56,Territories,9,Temperature,25.5739489142268
57,Territories,10,Temperature,27.68829070305953
58,Territories,11,Temperature,29.12621409776632
59,Territories,12,Temperature,30.774267870302623
60,Victoria,1,Temperature,20.154756069797944
61,Victoria,2,Temperature,19.199504746302985
62,Victoria,3,Temperature,17.17012774406239
63,Victoria,4,Temperature,13.723941139870329
64,Victoria,5,Temperature,10.1652303180771
65,Victoria,6,Temperature,9.42458599170784
66,Victoria,7,Temperature,8.791213649344913
67,Victoria,8,Temperature,9.561649663915276
68,Victoria,9,Temperature,12.623093687496336
69,Victoria,10,Temperature,12.846242900788727
70,Victoria,11,Temperature,16.4753903296337
71,Victoria,12,Temperature,18.326330481761783
72,Western Australia,1,Temperature,25.189808831580542
73,Western Australia,2,Temperature,25.871464292207797
74,Western Australia,3,Temperature,23.96524113171201
75,Western Australia,4,Temperature,18.564805696969696
76,Western Australia,5,Temperature,16.731254102669634
77,Western Australia,6,Temperature,12.52049317064786
78,Western Australia,7,Temperature,13.12877303016483
79,Western Australia,8,Temperature,15.695335419455962
80,Western Australia,9,Temperature,18.793963005903866
81,Western Australia,10,Temperature,21.475320746081504
82,Western Australia,11,Temperature,23.737718660397075
83,Western Australia,12,Temperature,25.057825274951966
84,New South Wales,1,Rain,18.768999867204915
85,New South Wales,2,Rain,22.53205130454533
86,New South Wales,3,Rain,25.776022305585222
87,New South Wales,4,Rain,25.84573761598668
88,New South Wales,5,Rain,24.05942019130141
89,New South Wales,6,Rain,30.400395716714662
90,New South Wales,7,Rain,24.553551121958936
91,New South Wales,8,Rain,26.724339200030546
92,New South Wales,9,Rain,30.69213040919776
93,New South Wales,10,Rain,32.4499524810888
94,New South Wales,11,Rain,32.71516784184431
95,New South Wales,12,Rain,23.569633563143142
96,Queensland,1,Rain,46.89758257474425
97,Queensland,2,Rain,45.30680194412344
98,Queensland,3,Rain,44.3645187894627
99,Queensland,4,Rain,30.10046919462464
100,Queensland,5,Rain,23.883427689718623
101,Queensland,6,Rain,16.6336734086092
102,Queensland,7,Rain,19.04738149285899
103,Queensland,8,Rain,12.953154148714656
104,Queensland,9,Rain,17.20637970193396
105,Queensland,10,Rain,24.00757468060243
106,Queensland,11,Rain,29.65422012225312
107,Queensland,12,Rain,40.70158773912116
108,South Australia,1,Rain,4.2176023617972485
109,South Australia,2,Rain,3.8235001761319527
110,South Australia,3,Rain,3.105817233282992
111,South Australia,4,Rain,8.515491237815358
112,South Australia,5,Rain,10.33520938556894
113,South Australia,6,Rain,10.633927266509808
114,South Australia,7,Rain,10.703097386643671
115,South Australia,8,Rain,12.491891636102046
116,South Australia,9,Rain,11.15492726230388
117,South Australia,10,Rain,8.424110508316428
118,South Australia,11,Rain,6.821516506181075
119,South Australia,12,Rain,5.020618321713969
120,Tasmania,1,Rain,2.689390275396862
121,Tasmania,2,Rain,2.694119395648098
122,Tasmania,3,Rain,3.560027134850119
123,Tasmania,4,Rain,5.689538375742878
124,Tasmania,5,Rain,8.023346168517515
125,Tasmania,6,Rain,7.522423110208082
126,Tasmania,7,Rain,8.683575055056759
127,Tasmania,8,Rain,9.47453020083518
128,Tasmania,9,Rain,8.249811814619939
129,Tasmania,10,Rain,7.331747412740532
130,Tasmania,11,Rain,5.160573644946158
131,Tasmania,12,Rain,3.873348125570281
132,Territories,1,Rain,13.16813671838632
133,Territories,2,Rain,11.631713360966565
134,Territories,3,Rain,8.427117593243032
135,Territories,4,Rain,6.592802855755604
136,Territories,5,Rain,2.031535721708939
137,Territories,6,Rain,1.0651624428483992
138,Territories,7,Rain,0.8658966015303892
139,Territories,8,Rain,0.5627283488133358
140,Territories,9,Rain,1.7798803683840223
141,Territories,10,Rain,3.066112265804554
142,Territories,11,Rain,6.098384562783853
143,Territories,12,Rain,12.271402231505144
144,Victoria,1,Rain,6.380389729468107
145,Victoria,2,Rain,6.039536942563655
146,Victoria,3,Rain,6.480052431436024
147,Victoria,4,Rain,13.242332382889932
148,Victoria,5,Rain,15.429409971677345
149,Victoria,6,Rain,15.968097050335675
150,Victoria,7,Rain,15.712968422530995
151,Victoria,8,Rain,18.95324827582408
152,Victoria,9,Rain,18.655197910044443
153,Victoria,10,Rain,16.340276795723476
154,Victoria,11,Rain,12.826403389892263
155,Victoria,12,Rain,8.638671166881025
156,Western Australia,1,Rain,7.8778984730023
157,Western Australia,2,Rain,7.972276876020963
158,Western Australia,3,Rain,8.286444512139916
159,Western Australia,4,Rain,10.013628337184908
160,Western Australia,5,Rain,16.23765087150724
161,Western Australia,6,Rain,17.776321004774168
162,Western Australia,7,Rain,20.43352991942026
163,Western Australia,8,Rain,18.84010818968016
164,Western Australia,9,Rain,12.261672533515998
165,Western Australia,10,Rain,8.380225855723781
166,Western Australia,11,Rain,6.72373393209923
167,Western Australia,12,Rain,5.924738852065283
